id,name,neighbourhood_group,neighbourhood,latitude_x,longitude_x,room_type,price_x,minimum_nights_x,minimum_nights_y,price_y,geometry
71248,Bright and lovely 1-bdrm LES apt w/ balcony,Manhattan,Chinatown,40.7159,-73.99156,Entire home/apt,107,15,30,160.0,POINT (-73.99156 40.7159)
42300,Beautiful Lower East Side Loft,Manhattan,Lower East Side,40.71992,-73.99167,Entire home/apt,750,5,30,750.0,POINT (-73.99167 40.71992)
75635,Bright Cozy Chinatown Studio Apt.,Manhattan,Lower East Side,40.71911,-73.98588,Entire home/apt,175,3,30,120.0,POINT (-73.98588 40.71911)
59014,"Spacious 1BR, Adorable Clean Quiet",Manhattan,Lower East Side,40.71946,-73.98641,Entire home/apt,180,30,30,150.0,POINT (-73.98641 40.71946)
59709,"Artistic, Cozy, and Spacious w/ Patio! Sleeps 4",Manhattan,Chinatown,40.7178,-73.9932,Entire home/apt,300,7,30,,POINT (-73.9932 40.7178)
150804,Colorful 2+ Bedroom Apt. on NYC's Lower East Side,Manhattan,Lower East Side,40.7203,-73.98424,Entire home/apt,350,4,4,,POINT (-73.98424 40.7203)
235960,"LES private 1 bd apt, walk to *everthing*",Manhattan,Lower East Side,40.72113,-73.98442,Entire home/apt,124,30,30,200.0,POINT (-73.98442 40.72113)
272044,Luxury Designer Home Downtown Manhattan,Manhattan,Lower East Side,40.72123,-73.98451,Entire home/apt,225,3,3,249.0,POINT (-73.98451 40.72123)
213330,Master Bedroom - Unbelievably RARE Penthouse Oasis,Manhattan,Lower East Side,40.71724,-73.99054,Private room,210,10,30,199.0,POINT (-73.99054 40.71724)
258930,"Large, Art & Light Filled Apartment Downtown NYC",Manhattan,Chinatown,40.71517,-73.99376,Entire home/apt,95,30,30,,POINT (-73.99376 40.71517)
353317,Lower East Side 1bedroom apt in NYC,Manhattan,Chinatown,40.71481,-73.99059,Private room,110,30,30,120.0,POINT (-73.99059 40.71481)
262478,Chic + Stylish room in heart of LowerEastSide NYC!,Manhattan,Lower East Side,40.71881,-73.9879,Private room,120,30,30,,POINT (-73.9879 40.71881)
266449,2 Bedroom Gem - Prime LES Location,Manhattan,Lower East Side,40.719482,-73.98877,Entire home/apt,165,30,30,120.0,POINT (-73.98877 40.719482)
266753,2 Bedroom apt.in Manhattan/New York,Manhattan,Lower East Side,40.71941,-73.98968,Entire home/apt,250,3,30,250.0,POINT (-73.98968 40.71941)
467569,Curated 1BR on the prettiest block of the LES,Manhattan,Lower East Side,40.71937,-73.98387,Entire home/apt,311,50,50,311.0,POINT (-73.98387 40.71937)
478053,Great LES / Chinatown bedroom,Manhattan,Two Bridges,40.71101,-73.99518,Private room,207,2,30,125.0,POINT (-73.99518 40.71101)
346579,NYC Lower East Side 1 BR + office,Manhattan,Lower East Side,40.71932,-73.98364,Entire home/apt,135,150,180,102.0,POINT (-73.98364 40.71932)
504437,The biggest smallest apartment in Manhattan,Manhattan,Lower East Side,40.72103,-73.98835,Entire home/apt,84,30,30,,POINT (-73.98835 40.72103)
578267,Perfect Bedroom* Lovely Apt* Manhattan*Super Host,Manhattan,Two Bridges,40.71271,-73.99534,Private room,98,30,30,,POINT (-73.99534 40.71271)
512022,"Sunny, Clean, Minimal, Modern Apt",Manhattan,Lower East Side,40.7211,-73.98271,Entire home/apt,200,5,30,,POINT (-73.98271 40.7211)
453255,"Exciting Lower East Side, Loft Life",Manhattan,Lower East Side,40.71776,-73.98486,Entire home/apt,240,7,30,,POINT (-73.98486 40.71776)
649972,Large 1BD in Downtown NYC. New elevator building.,Manhattan,Lower East Side,40.71799,-73.99213,Entire home/apt,199,30,30,,POINT (-73.99213 40.71799)
666837,Adorable Studio in a Village Atmosphere,Manhattan,Lower East Side,40.71879,-73.99176,Entire home/apt,90,30,30,110.0,POINT (-73.99176 40.71879)
680104,Newly Renovated 1 BR,Manhattan,Chinatown,40.71809,-73.99453,Private room,137,30,30,,POINT (-73.99453 40.71809)
752616,Sunny 2BR Penthouse - HUGE Terrace,Manhattan,Chinatown,40.7156,-73.9915,Entire home/apt,800,3,30,500.0,POINT (-73.9915 40.7156)
783341,Private Bedroom LOWER EAST SIDE FULLVAC GUEST ONLY,Manhattan,Lower East Side,40.71562,-73.98401,Private room,59,24,30,71.0,POINT (-73.98401 40.71562)
785166,Comfy Cool Convenient Downtown 2BR,Manhattan,Lower East Side,40.71774,-73.982,Entire home/apt,150,58,58,,POINT (-73.982 40.71774)
855462,1BR in Charming Downtown Apt,Manhattan,Lower East Side,40.71885,-73.98795,Private room,85,4,30,,POINT (-73.98795 40.71885)
841484,cozy charming apt - Lower East Side,Manhattan,Lower East Side,40.7207,-73.98713,Entire home/apt,155,30,30,,POINT (-73.98713 40.7207)
842167,1 BDR in Heart of Lower East side,Manhattan,Chinatown,40.71682,-73.99222,Entire home/apt,150,30,30,,POINT (-73.99222 40.71682)
848071,1 BEDROOM APT -  Lower East Side,Manhattan,Chinatown,40.71738,-73.99231,Entire home/apt,90,3,30,100.0,POINT (-73.99231 40.71738)
1291245,ENORMOUS Artsy 2BR in trendy LES!,Manhattan,Chinatown,40.71464,-73.99045,Entire home/apt,405,30,30,,POINT (-73.99045 40.71464)
1480002,Huge rm in 1500sq ft loft w/lots,Manhattan,Lower East Side,40.7202,-73.99162,Private room,125,30,30,125.0,POINT (-73.99162 40.7202)
1398234,Elegant SOHO One Bedroom,Manhattan,Lower East Side,40.7225,-73.99287,Entire home/apt,217,30,30,217.0,POINT (-73.99287 40.7225)
1961361,Private Master BR in 3 BR Apt,Manhattan,Lower East Side,40.71454,-73.98647,Private room,102,30,30,,POINT (-73.98647 40.71454)
2084817,Huge Bedroom at Downtown Manhattan,Manhattan,Lower East Side,40.71023,-73.98723,Private room,128,30,30,,POINT (-73.98723 40.71023)
1932110,Manhattan/ LES Short term Stay,Manhattan,Lower East Side,40.72241,-73.99119,Private room,175,30,30,175.0,POINT (-73.99119 40.72241)
2208545,Spacious 1 Bedroom in Lower East Side/Chinatown,Manhattan,Chinatown,40.71575,-73.99401,Entire home/apt,140,21,30,,POINT (-73.99401 40.71575)
2243548,Outdoor Oasis! Live/work 1600sf w. Private Terrace,Manhattan,Lower East Side,40.72073,-73.99019,Entire home/apt,311,7,30,215.0,POINT (-73.99019 40.72073)
2310008,CLEAN LES HOME,Manhattan,Chinatown,40.71627,-73.99435,Private room,75,30,30,,POINT (-73.99435 40.71627)
2339096,Cozy bedroom in Lower East Side,Manhattan,Lower East Side,40.71525,-73.98929,Private room,71,30,30,71.0,POINT (-73.98929 40.71525)
2517989,1BR on Quiet Block in Nolita,Manhattan,Lower East Side,40.72086,-73.99354,Entire home/apt,225,2,30,,POINT (-73.99354 40.72086)
