id,name,neighbourhood_group,neighbourhood,latitude_x,longitude_x,room_type,price_x,minimum_nights_x,minimum_nights_y,price_y,geometry
6848,Only 2 stops to Manhattan studio,Brooklyn,Williamsburg,40.70935,-73.95342,Entire home/apt,81,30,30,81.0,POINT (-73.95342 40.70935)
67299,Cozy Garden Apartment  in Williamsburg,Brooklyn,Williamsburg,40.71516,-73.96448,Entire home/apt,160,30,30,156.0,POINT (-73.96448 40.71516)
7064,"Amazing location! Wburg. Large, bright & tranquil",Brooklyn,Williamsburg,40.71248,-73.95881,Private room,95,7,30,,POINT (-73.95881 40.71248)
33009,Retreat in Williamsburg,Brooklyn,Williamsburg,40.71512,-73.95899,Entire home/apt,195,30,30,195.0,POINT (-73.95899 40.71512)
7801,Sweet and Spacious Brooklyn Loft,Brooklyn,Williamsburg,40.71778,-73.9568,Entire home/apt,395,30,30,290.0,POINT (-73.9568 40.71778)
15385,"Very, very cozy place",Brooklyn,Williamsburg,40.71211,-73.96397,Private room,85,5,30,93.0,POINT (-73.96397 40.71211)
44973,Creative South Williamsburg Studio,Brooklyn,Williamsburg,40.70894,-73.95234,Entire home/apt,107,30,30,98.0,POINT (-73.95234 40.70894)
19812,2 bedroom Williamsburg Apt - Bedford L stop,Brooklyn,Williamsburg,40.71802,-73.95724,Entire home/apt,105,30,30,105.0,POINT (-73.95724 40.71802)
20913,Charming 1 bed GR8 WBurg LOCATION!,Brooklyn,Williamsburg,40.70967,-73.95922,Entire home/apt,80,30,30,,POINT (-73.95922 40.70967)
25406,"Modern Brooklyn Apt., August sublet",Brooklyn,Williamsburg,40.71649,-73.94865,Entire home/apt,83,30,30,,POINT (-73.94865 40.71649)
101053,Colorful Artistic Williamsburg Apt w/ 3 Bedrooms,Brooklyn,Williamsburg,40.71116,-73.95484,Private room,175,60,60,,POINT (-73.95484 40.71116)
121687,Spacious Brooklyn Loft,Brooklyn,Williamsburg,40.71983,-73.95992,Entire home/apt,200,30,30,200.0,POINT (-73.95992 40.71983)
158176,Entire Apartment in Heart of Williamsburg,Brooklyn,Williamsburg,40.71596,-73.96017,Entire home/apt,135,30,30,156.0,POINT (-73.96017 40.71596)
162493,Prime Williamsburg 3 BR with Deck,Brooklyn,Williamsburg,40.71174,-73.95798,Entire home/apt,650,6,31,,POINT (-73.95798 40.71174)
134934,Prime Williamsburg Apartment,Brooklyn,Williamsburg,40.71771,-73.95849,Entire home/apt,250,5,30,,POINT (-73.95849 40.71771)
65615,Farmhouse Apartment in Williamsburg,Brooklyn,Williamsburg,40.7106,-73.95178,Entire home/apt,85,10,30,,POINT (-73.95178 40.7106)
